Year,Make,Model,Series,Style,Covered?,Fuel Type,Classification,MPGe (Note that this is electric mpge for PHEVs),Miles per kWh,Miles per gallon,Total Range,Capacity (kWh),,,,,,,,,,,,,
2019,Audi,Q7,,,0,Gasoline,,,,21,472,,,,,,,,,,,,,,
2021,Audi,e-tron,Premium,4D SUV Qtro,1,Electricity,EV,78,2.31,-,222,95.9,,,,,,,,,,,,,
2021,Audi,e-tron,Premium Plus,4D SUV Qtro,1,Electricity,EV,78,2.31,-,222,95.9,,,,,,,,,,,,,
2021,Audi,e-tron,Prestige,4D SUV Qtro,1,Electricity,EV,78,2.31,-,222,95.9,,,,,,,,,,,,,
2021,Audi,Q5,Premium 55 TFSI,4D SUV 2.0T PHEV,1,Premium and Electricity,PHEV,50,1.48,26.7163,19,12.8,,,,,,,,,,,,,
2021,Audi,Q5,Premium Plus 55 TFSI,4D SUV 2.0T PHEV,1,Premium and Electricity,PHEV,50,1.48,26.7163,19,12.8,,,,,,,,,,,,,
2021,Audi,Q5,Prestige 55 TFSI,4D SUV 2.0T PHEV,1,Premium and Electricity,PHEV,50,1.48,26.7163,19,12.8,,,,,,,,,,,,,
2020,Audi,Q5,Premium,4D SUV 2.0T PHEV,1,Premium and Electricity,PHEV,65,1.93,26.5403,20,10.4,,,,,,,,,,,,,
2020,Audi,Q5,Premium Plus,4D SUV 2.0T PHEV,1,Premium and Electricity,PHEV,65,1.93,26.5403,20,10.4,,,,,,,,,,,,,
2020,Audi,Q5,Prestige,4D SUV 2.0T PHEV,1,Premium and Electricity,PHEV,65,1.93,26.5403,20,10.4,,,,,,,,,,,,,
2019,Audi,e-tron,Premium Plus,4D SUV Qtro,1,Electricity,EV,74,2.20,-,204,92.9,,,,,,,,,,,,,
2019,Audi,e-tron,Prestige,4D SUV Qtro,1,Electricity,EV,74,2.20,-,204,92.9,,,,,,,,,,,,,
2021,Ford,Mustang Mach-E,California Route 1,4D SUV RWD,1,Electricity,EV,101,3.00,-,305,101.8,,,,,,,,,,,,,
2021,Ford,Mustang Mach-E,Premium,4D SUV AWD,1,Electricity,EV,93,2.76,-,211,76.5,,,,,,,,,,,,,
2021,Ford,Mustang Mach-E,Premium,4D SUV RWD,1,Electricity,EV,100,2.97,-,230,77.5,,,,,,,,,,,,,
2021,Ford,Mustang Mach-E,Select,4D SUV AWD,1,Electricity,EV,90,2.67,-,270,101.1,,,,,,,,,,,,,
2021,Ford,Mustang Mach-E,Select,4D SUV RWD,1,Electricity,EV,97,2.88,-,300,104.2,,,,,,,,,,,,,
2020,Ford,Escape,SE PHEV,4D SUV FWD,1,Regular Gas and Electricity,PHEV,102,3.03,40.6991,37,12.2,,,,,,,,,,,,,
2020,Ford,Escape,SEL PHEV,4D SUV FWD,1,Regular Gas and Electricity,PHEV,105,3.12,40.4848,37,11.9,,,,,,,,,,,,,
2020,Ford,Escape,Titanium PHEV,4D SUV FWD,1,Regular Gas and Electricity,PHEV,105,3.12,40.4848,37,11.9,,,,,,,,,,,,,
2022,Hyundai,Kona,EV Limited,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2022,Hyundai,Kona,EV SEL,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2022,Hyundai,Santa Fe,Limited PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,76,2.26,32.7897,31,13.7,,,,,,,,,,,,,
2022,Hyundai,Santa Fe,SEL Convenience PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,76,2.26,32.7897,31,13.7,,,,,,,,,,,,,
2021,Hyundai,Kona,EV Limited,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2021,Hyundai,Kona,EV SEL,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2021,Hyundai,Kona,EV Ultimate,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2020,Hyundai,Kona,EV Limited,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2020,Hyundai,Kona,EV SEL,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2020,Hyundai,Kona,EV Ultimate,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2019,Hyundai,Kona,EV Limited,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2019,Hyundai,Kona,EV SEL,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2019,Hyundai,Kona,EV Ultimate,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2020,Jaguar,I-Pace,HSE,4D SUV,1,Electricity,EV,76,2.26,-,234,103.8,,,,,,,,,,,,,
2020,Jaguar,I-Pace,S,4D SUV,1,Electricity,EV,76,2.26,-,234,103.8,,,,,,,,,,,,,
2020,Jaguar,I-Pace,SE,4D SUV,1,Electricity,EV,76,2.26,-,234,103.8,,,,,,,,,,,,,
2019,Jaguar,I-Pace,First Edition,4D SUV,1,Electricity,EV,76,2.26,-,234,103.8,,,,,,,,,,,,,
2019,Jaguar,I-Pace,HSE,4D SUV,1,Electricity,EV,76,2.26,-,234,103.8,,,,,,,,,,,,,
2019,Jaguar,I-Pace,S,4D SUV,1,Electricity,EV,76,2.26,-,234,103.8,,,,,,,,,,,,,
2019,Jaguar,I-Pace,SE,4D SUV,1,Electricity,EV,76,2.26,-,234,103.8,,,,,,,,,,,,,
2021,Kia,Niro,EV EX,4D SUV,1,Electricity,EV,112,3.32,-,239,71.9,,,,,,,,,,,,,
2021,Kia,Niro,EV EX Premium,4D SUV,1,Electricity,EV,112,3.32,-,239,71.9,,,,,,,,,,,,,
2021,Kia,Niro,EX PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4127,26,8.3,,,,,,,,,,,,,
2021,Kia,Niro,EX Premium PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4127,26,8.3,,,,,,,,,,,,,
2021,Kia,Niro,LXS PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4127,26,8.3,,,,,,,,,,,,,
2020,Kia,Niro,EV EX,4D SUV,1,Electricity,EV,112,3.32,-,239,71.9,,,,,,,,,,,,,
2020,Kia,Niro,EV EX Premium,4D SUV,1,Electricity,EV,112,3.32,-,239,71.9,,,,,,,,,,,,,
2020,Kia,Niro,EX PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4127,26,8.3,,,,,,,,,,,,,
2020,Kia,Niro,EX Premium PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4127,26,8.3,,,,,,,,,,,,,
2020,Kia,Niro,LXS PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4127,26,8.3,,,,,,,,,,,,,
2019,Kia,Niro,EV EX,4D SUV,1,Electricity,EV,112,3.32,-,239,71.9,,,,,,,,,,,,,
2019,Kia,Niro,EV EX Premium,4D SUV,1,Electricity,EV,112,3.32,-,239,71.9,,,,,,,,,,,,,
2019,Kia,Niro,EX PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4,26,8.3,,,,,,,,,,,,,
2019,Kia,Niro,EX Premium PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4,26,8.3,,,,,,,,,,,,,
2019,Kia,Niro,LX PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4,26,8.3,,,,,,,,,,,,,
2018,Kia,Niro,EX PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4,26,8.3,,,,,,,,,,,,,
2018,Kia,Niro,EX Premium PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4,26,8.3,,,,,,,,,,,,,
2018,Kia,Niro,LX PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4,26,8.3,,,,,,,,,,,,,
2021,Land Rover,Range Rover Sport,Autobiography PHEV,4D SUV,1,Premium and Electricity,PHEV,42,1.25,19.2349,19,15.2,,,,,,,,,,,,,
2021,Land Rover,Range Rover,Autobiography,4D SUV PHEV,1,Premium and Electricity,PHEV,42,1.25,19.2349,19,15.2,,,,,,,,,,,,,
2021,Land Rover,Range Rover,HSE,4D SUV PHEV,1,Premium and Electricity,PHEV,42,1.25,19.2349,19,15.2,,,,,,,,,,,,,
2021,Land Rover,Range Rover Sport,HSE Silver Edition,4D SUV PHEV,1,Premium and Electricity,PHEV,42,1.25,19.2349,19,15.2,,,,,,,,,,,,,
2020,Land Rover,Range Rover Sport,Autobiography PHEV,4D SUV,1,Premium and Electricity,PHEV,42,1.25,19.2349,19,15.2,,,,,,,,,,,,,
2020,Land Rover,Range Rover Sport,HSE PHEV,4D SUV,1,Premium and Electricity,PHEV,42,1.25,19.2332,19,15.2,,,,,,,,,,,,,
2020,Land Rover,Range Rover,Autobiography,4D SUV PHEV,1,Premium and Electricity,PHEV,42,1.25,19.2332,19,15.2,,,,,,,,,,,,,
2020,Land Rover,Range Rover,HSE,4D SUV PHEV,1,Premium and Electricity,PHEV,42,1.25,19.2332,19,15.2,,,,,,,,,,,,,
2019,Land Rover,Range Rover Sport,HSE PHEV,4D SUV,1,Premium and Electricity,PHEV,42,1.25,19.2332,19,15.2,,,,,,,,,,,,,
2019,Land Rover,Range Rover,HSE,4D SUV PHEV,1,Premium and Electricity,PHEV,42,1.25,19.2332,19,15.2,,,,,,,,,,,,,
2021,Lincoln,Aviator,Black Label GT PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,56,1.66,22.8265,21,12.6,,,,,,,,,,,,,
2021,Lincoln,Aviator,Grand Touring PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,56,1.66,22.8265,21,12.6,,,,,,,,,,,,,
2021,Lincoln,Corsair,Grand Touring Hybrid,4D SUV AWD,1,Regular Gas and Electricity,PHEV,78,2.31,33.2893,28,12.1,,,,,,,,,,,,,
2020,Lincoln,Aviator,Black Label GT PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,56,1.66,22.8,21,12.6,,,,,,,,,,,,,
2020,Lincoln,Aviator,Grand Touring PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,56,1.66,22.8,21,12.6,,,,,,,,,,,,,
2019,Mercedes-Benz,GLC,GLC350e,4D SUV 4Matic,1,Premium and Electricity,PHEV,56,1.66,25.4,10,6.0,,,,,,,,,,,,,
2018,Mercedes-Benz,GLC,GLC350e,4D SUV 4Matic,1,Premium and Electricity,PHEV,56,1.66,25.4,10,6.0,,,,,,,,,,,,,
2022,Mitsubishi,Outlander,GT PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25.8543,24,10.9,,,,,,,,,,,,,
2022,Mitsubishi,Outlander,LE PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25.8543,24,10.9,,,,,,,,,,,,,
2022,Mitsubishi,Outlander,SEL PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25.8543,24,10.9,,,,,,,,,,,,,
2021,Mitsubishi,Outlander,GT PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25.8543,24,10.9,,,,,,,,,,,,,
2021,Mitsubishi,Outlander,LE PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25.8543,24,10.9,,,,,,,,,,,,,
2021,Mitsubishi,Outlander,SEL PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25.8543,24,10.9,,,,,,,,,,,,,
2020,Mitsubishi,Outlander,GT PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25,22,10.0,,,,,,,,,,,,,
2020,Mitsubishi,Outlander,SEL PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25,22,10.0,,,,,,,,,,,,,
2019,Mitsubishi,Outlander,GT PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25,22,10.0,,,,,,,,,,,,,
2019,Mitsubishi,Outlander,SEL PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25,22,10.0,,,,,,,,,,,,,
2018,Mitsubishi,Outlander,GT PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25,22,10.0,,,,,,,,,,,,,
2018,Mitsubishi,Outlander,SEL PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25,22,10.0,,,,,,,,,,,,,
2021,Porsche,Cayenne,E-Hybrid,4D SUV,1,Premium and Electricity,PHEV,46,1.36,20.8658,17,12.5,,,,,,,,,,,,,
2021,Porsche,Cayenne,Turbo S E-Hybrid,4D SUV,1,Premium and Electricity,PHEV,42,1.25,18.052,15,12.0,,,,,,,,,,,,,
2020,Porsche,Cayenne,E-Hybrid,4D SUV,1,Premium Gas or Electricity,PHEV,41,1.22,20.6147,14,11.5,,,,,,,,,,,,,
2020,Porsche,Cayenne,Turbo S E-Hybrid,4D SUV,1,Premium Gas or Electricity,PHEV,39,1.16,17.6489,12,10.4,,,,,,,,,,,,,
2019,Porsche,Cayenne,E-Hybrid,4D SUV,1,Premium Gas or Electricity,PHEV,46,1.36,20.9305,13,9.5,,,,,,,,,,,,,
2018,Porsche,Cayenne,S E-Hybrid,4D SUV,1,Premium Gas or Electricity,PHEV,47,1.39,22.1658,14,10.0,,,,,,,,,,,,,
2018,Porsche,Cayenne,S E-Hybrid Platinum,4D SUV,1,Premium Gas or Electricity,PHEV,47,1.39,22.1658,14,10.0,,,,,,,,,,,,,
2017,Porsche,Cayenne,S E-Hybrid,4D SUV,1,Premium Gas or Electricity,PHEV,46,1.36,22.1658,14,10.3,,,,,,,,,,,,,
2016,Porsche,Cayenne,S E-Hybrid,4D SUV,1,Premium Gas or Electricity,PHEV,47,1.39,22.1,14,10.0,,,,,,,,,,,,,
2015,Porsche,Cayenne,S E-Hybrid,4D SUV,1,Premium Gas or Electricity,PHEV,47,1.39,22.1,14,10.0,,,,,,,,,,,,,
2021,Tesla,Model X,Long Range,4D SUV AWD,1,Electricity,EV,105,3.12,-,371,119.1,,,,,,,,,,,,,
2021,Tesla,Model X,Plaid,4D SUV AWD,1,Electricity,EV,97,2.88,-,341,118.5,,,,,,,,,,,,,
2021,Tesla,Model Y,Long Range,4D SUV,1,Electricity,EV,125,3.71,-,326,87.9,,,,,,,,,,,,,
2021,Tesla,Model Y,Performance,4D SUV,1,Electricity,EV,111,3.29,-,303,92.0,,,,,,,,,,,,,
2021,Tesla,Model Y,Standard Range,4D SUV,1,Electricity,EV,129,3.83,-,244,63.7,,,,,,,,,,,,,
2020,Tesla,Model X,Long Range,4D SUV AWD,1,Electricity,EV,96,2.85,-,328,115.1,,,,,,,,,,,,,
2020,Tesla,Model X,Performance,4D SUV AWD,1,Electricity,EV,90,2.67,-,305,114.2,,,,,,,,,,,,,
2020,Tesla,Model Y,Long Range,4D SUV,1,Electricity,EV,121,3.59,-,316,88.0,,,,,,,,,,,,,
2020,Tesla,Model Y,Performance,4D SUV,1,Electricity,EV,111,3.29,-,291,88.3,,,,,,,,,,,,,
2019,Tesla,Model X,Long Range,4D SUV AWD,1,Electricity,EV,96,2.85,-,325,114.1,,,,,,,,,,,,,
2019,Tesla,Model X,Performance,4D SUV AWD,1,Electricity,EV,79,2.34,-,270,115.2,,,,,,,,,,,,,
2019,Tesla,Model X,Standard Range,4D SUV AWD,1,Electricity,EV,93,2.76,-,238,86.2,,,,,,,,,,,,,
2018,Tesla,Model X,100D,4D SUV AWD,1,Electricity,EV,87,2.58,-,295,114.3,,,,,,,,,,,,,
2018,Tesla,Model X,75D,4D SUV AWD,1,Electricity,EV,93,2.76,-,238,86.2,,,,,,,,,,,,,
2018,Tesla,Model X,P100D,4D SUV AWD,1,Electricity,EV,85,2.52,-,289,114.6,,,,,,,,,,,,,
2017,Tesla,Model X,100D,4D SUV AWD,1,Electricity,EV,87,2.58,-,295,114.3,,,,,,,,,,,,,
2017,Tesla,Model X,75D,4D SUV AWD,1,Electricity,EV,93,2.76,-,238,86.2,,,,,,,,,,,,,
2017,Tesla,Model X,90D,4D SUV AWD,1,Electricity,EV,92,2.73,-,257,94.1,,,,,,,,,,,,,
2017,Tesla,Model X,P100D,4D SUV AWD,1,Electricity,EV,86,2.55,-,289,113.2,,,,,,,,,,,,,
2016,Tesla,Model X,60D,4D SUV AWD,1,Electricity,EV,93,2.76,-,200,72.5,,,,,,,,,,,,,
2016,Tesla,Model X,70D,4D SUV AWD,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
2016,Tesla,Model X,75D,4D SUV AWD,1,Electricity,EV,93,2.76,-,238,86.2,,,,,,,,,,,,,
2016,Tesla,Model X,90D,4D SUV AWD,1,Electricity,EV,92,2.73,-,257,94.1,,,,,,,,,,,,,
2016,Tesla,Model X,P100D,4D SUV AWD,1,Electricity,EV,86,2.55,-,289,113.2,,,,,,,,,,,,,
2016,Tesla,Model X,P90D,4D SUV AWD,1,Electricity,EV,89,2.64,-,250,94.7,,,,,,,,,,,,,
2021,Toyota,RAV4 PRIME,SE,4D SUV AWD,1,Regular Gas and Electricity,PHEV,94,2.79,38.3732,42,15.1,,,,,,,,,,,,,
2021,Toyota,RAV4 PRIME,XSE,4D SUV AWD,1,Regular Gas and Electricity,PHEV,94,2.79,38.3732,42,15.1,,,,,,,,,,,,,
2014,Toyota,RAV4,EV,4D SUV FWD,1,Electricity,EV,76,2.26,-,103,45.7,,,,,,,,,,,,,
2013,Toyota,RAV4,EV,4D SUV FWD,1,Electricity,EV,76,2.26,-,103,45.7,,,,,,,,,,,,,
2012,Toyota,RAV4,EV,4D SUV FWD,1,Electricity,EV,76,2.26,-,103,45.7,,,,,,,,,,,,,
2021,Volkswagen,ID.4,1st Edition,4D SUV,1,Electricity,EV,97,2.88,-,250,86.9,,,,,,,,,,,,,
2021,Volkswagen,ID.4,Pro,4D SUV,1,Electricity,EV,99,2.94,-,260,88.5,,,,,,,,,,,,,
2021,Volkswagen,ID.4,Pro AWD,4D SUV,1,Electricity,EV,99,2.94,-,260,88.5,,,,,,,,,,,,,
2021,Volkswagen,ID.4,Pro S,4D SUV,1,Electricity,EV,97,2.88,-,250,86.9,,,,,,,,,,,,,
2021,Volkswagen,ID.4,Pro S AWD,4D SUV,1,Electricity,EV,97,2.88,-,250,86.9,,,,,,,,,,,,,
2021,Volvo,XC40,Rechg Pure Elec P8,4D SUV eAWD,1,Electricity,EV,79,2.34,-,208,88.7,,,,,,,,,,,,,
2021,Volvo,XC60,T8 - Inscription,4D SUV PHEV,1,Premium and Electricity,PHEV,57,1.69,26.6484,19,11.2,,,,,,,,,,,,,
2021,Volvo,XC60,T8 - Inscription Exp,4D SUV PHEV,1,Premium and Electricity,PHEV,57,1.69,26.6484,19,11.2,,,,,,,,,,,,,
2021,Volvo,XC60,T8 - Polestar,4D SUV PHEV,1,Premium and Electricity,PHEV,57,1.69,26.6484,19,11.2,,,,,,,,,,,,,
2021,Volvo,XC60,T8 - R-Design,4D SUV PHEV,1,Premium and Electricity,PHEV,57,1.69,26.6484,19,11.2,,,,,,,,,,,,,
2021,Volvo,XC90,T8 - Inscription,4D SUV 6Pass PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8412,18,11.0,,,,,,,,,,,,,
2021,Volvo,XC90,T8 - Inscription,4D SUV 7Pass PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8412,18,11.0,,,,,,,,,,,,,
2021,Volvo,XC90,T8 - Inscription Exp,4D SUV 6Pass PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8412,18,11.0,,,,,,,,,,,,,
2021,Volvo,XC90,T8 - Inscription Exp,4D SUV 7Pass PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8412,18,11.0,,,,,,,,,,,,,
2021,Volvo,XC90,T8 - R-Design,4D SUV 7Pass PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8412,18,11.0,,,,,,,,,,,,,
2020,Volvo,XC60,T8 - Inscription,4D SUV PHEV,1,Premium and Electricity,PHEV,57,1.69,26.6,19,11.2,,,,,,,,,,,,,
2020,Volvo,XC60,T8 - Momentum,4D SUV PHEV,1,Premium and Electricity,PHEV,57,1.69,26.6,19,11.2,,,,,,,,,,,,,
2020,Volvo,XC60,T8 - Polestar,4D SUV PHEV,1,Premium and Electricity,PHEV,57,1.69,26.6,19,11.2,,,,,,,,,,,,,
2020,Volvo,XC60,T8 - R-Design,4D SUV PHEV,1,Premium and Electricity,PHEV,57,1.69,26.6,19,11.2,,,,,,,,,,,,,
2020,Volvo,XC90,T8 - Inscription,4D SUV PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8,18,11.0,,,,,,,,,,,,,
2020,Volvo,XC90,T8 - Momentum,4D SUV PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8,18,11.0,,,,,,,,,,,,,
2020,Volvo,XC90,T8 - R-Design,4D SUV PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8,18,11.0,,,,,,,,,,,,,
2019,Volvo,XC60,T8 - Inscription,4D SUV PHEV,1,Premium and Electricity,PHEV,58,1.72,26.1,17,9.9,,,,,,,,,,,,,
2019,Volvo,XC60,T8 - Momentum,4D SUV PHEV,1,Premium and Electricity,PHEV,58,1.72,26.1,17,9.9,,,,,,,,,,,,,
2019,Volvo,XC60,T8 - R-Design,4D SUV PHEV,1,Premium and Electricity,PHEV,58,1.72,26.1,17,9.9,,,,,,,,,,,,,
2019,Volvo,XC90,T8 - Excellence,4D SUV PHEV,1,Premium and Electricity,PHEV,58,1.72,25.3,17,9.9,,,,,,,,,,,,,
2019,Volvo,XC90,T8 - Inscription,4D SUV PHEV,1,Premium and Electricity,PHEV,58,1.72,25.3,17,9.9,,,,,,,,,,,,,
2019,Volvo,XC90,T8 - Momentum,4D SUV PHEV,1,Premium and Electricity,PHEV,58,1.72,25.3,17,9.9,,,,,,,,,,,,,
2019,Volvo,XC90,T8 - R-Design,4D SUV PHEV,1,Premium and Electricity,PHEV,58,1.72,25.3,17,9.9,,,,,,,,,,,,,
2018,Volvo,XC90,T8 - Inscription,4D SUV PHEV,1,Premium and Electricity,PHEV,62,1.84,27.4,19,10.3,,,,,,,,,,,,,
2018,Volvo,XC90,T8 - Momentum,4D SUV PHEV,1,Premium and Electricity,PHEV,62,1.84,27.4,19,10.3,,,,,,,,,,,,,
2018,Volvo,XC90,T8 - R-Design,4D SUV PHEV,1,Premium and Electricity,PHEV,62,1.84,27.4,19,10.3,,,,,,,,,,,,,